Mã tin,Loại BĐS,Khu vực,Địa chỉ,Diện tích (m2),Pháp lý,Giá (tỷ),Lộ giới (m),Số lầu,Số phòng ngủ,Số điện thoại liên hệ,Link truy cập
3500611,"Nhà ngõ, hẻm",Hồ Chí Minh," Quận 12, Hồ Chí Minh",80.0,Sổ hồng/ Sổ đỏ,6.99,6.0,3,4,0909.822.610,https://i-batdongsan.com/ban-nha-4-tang-nguyen-anh-thu-doi-dien-gan-nha-tho-trung-chanh-quan-12--3500611.html
4659719,Đất,Hà Nội," Huyện Hoài Đức, Hà Nội",75.0,Sổ hồng/ Sổ đỏ,4.2,5.0,0,0,0914.773.359,https://i-batdongsan.com/ban-dat-o-khu-cao-trung-1-hoai-duc-duong-o-to-tranh-via-he-vo-bien-dien-tich-75m2-4659719.html
4813510,Biệt thự,Hà Nội," Quận Hà Đông, Hà Nội",50.0,Sổ hồng/ Sổ đỏ,12.5,4.0,7,4,0944.723.177,https://i-batdongsan.com/-ban-toa-nha-mat-pho-ha-dong-7-tang-thang-may-12-5-ty-lh-0988183187-4813510.html
4822936,Nhà mặt tiền,Hà Nội," Quận Hà Đông, Hà Nội",50.0,Sổ hồng/ Sổ đỏ,7.2,4.0,6,10,0944.723.177,https://i-batdongsan.com/-ban-nha-dong-tien-thu-45tr-thang-6-tang-10-phong-gia-chot-hon-6-ty-lh--4822936.html
4659316,"Nhà ngõ, hẻm",Hồ Chí Minh," Quận Gò Vấp, Hồ Chí Minh",55.0,Sổ hồng/ Sổ đỏ,5.25,6.0,1,2,0917.166.979,https://i-batdongsan.com/-go-vap-ban-gap-nha-dep-hxh-6m-nguyen-van-luong-55m2-2tang-5-5ty--4659316.html
4771230,Nhà mặt tiền,Duyên Hải Nam Trung Bộ," Thành phố Nha Trang, Khánh Hòa",65.0,Sổ hồng/ Sổ đỏ,3.7,13.0,2,3,0822.055.479,https://i-batdongsan.com/ban-nha-2-tang-goc-2-mat-duong-o-hon-xen-vinh-hoa-4771230.html
4666596,"Nhà ngõ, hẻm",Hồ Chí Minh," Quận Gò Vấp, Hồ Chí Minh",48.0,Sổ hồng/ Sổ đỏ,6.3,4.0,4,4,0917.166.979,https://i-batdongsan.com/-go-vap-giam-sau-ban-gap-nha-moi-dep-hxh-nguyen-thai-son-48m2-5tang-6-3ty--4666596.html
4695420,Nhà mặt tiền,Hà Nội," Quận Đống Đa, Hà Nội",200.0,Sổ hồng/ Sổ đỏ,62.0,30.0,3,2,0937.272.112,https://i-batdongsan.com/-ban-nha-mat-pho-vip-hoang-cau-dong-da-200m2-mt-5m-chi-62-ty--4695420.html
4789646,Nhà mặt tiền,Hà Nội," Quận Hà Đông, Hà Nội",120.0,Sổ hồng/ Sổ đỏ,45.0,12.0,9,4,0944.723.177,https://i-batdongsan.com/-ban-nha-ba-trieu-nha-moi-dep-gan-cho-ha-dong-40m2-4-2-ty-lh-hang-4789646.html
4833178,Nhà mặt tiền,Hồ Chí Minh," Quận Tân Phú, Hồ Chí Minh",60.0,Sổ hồng/ Sổ đỏ,10.0,12.0,2,4,0909.822.610,https://i-batdongsan.com/nha-4-tang-mt-nguyen-huu-dat-noi-che-lan-vien-le-trong-tan-kd-chi-10-ty--4833178.html
4823581,"Nhà ngõ, hẻm",Hồ Chí Minh," Quận 12, Hồ Chí Minh",52.0,Sổ hồng/ Sổ đỏ,4.5,6.0,3,3,0917.166.979,https://i-batdongsan.com/-q-12-ban-gap-nha-dep-phan-lo-sat-mat-tien-ha-huy-giap-p-thanh-loc-4tang-4-5ty--4823581.html
4310935,"Nhà ngõ, hẻm",Hà Nội," Quận Hoàng Mai, Hà Nội",30.0,Sổ hồng/ Sổ đỏ,3.0,2.5,4,3,0352.306.767 / 0369.172.994,https://i-batdongsan.com/hoa-hau-pho-ngu-nhac-nha-dep-gia-hat-re-nhat-khu-vuc-4310935.html
4781419,"Nhà ngõ, hẻm",Hà Nội," Quận Thanh Xuân, Hà Nội",40.0,Sổ hồng/ Sổ đỏ,4.0,3.0,4,5,0944.723.177,https://i-batdongsan.com/ban-nha-dang-cho-thue-40tr-thang-gia-chao-6-ty-lien-he-ms-hang-0988183187-4781419.html
