Vùng,Kinh độ,Vĩ độ
" Đường Nguyễn Ánh Thủ, Phường Trung Mỹ Tây, Quận 12, Hồ Chí Minh",10.8225079,106.6880955
" Đường Long Khánh, Thị trấn Trạm Trôi, Huyện Hoài Đức, Hà Nội",10.8647652,106.6110168
" Phường Văn Quán, Quận Hà Đông, Hà Nội",21.067671,105.6990444
" Đường Ao Sen, Phường Mộ Lao, Quận Hà Đông, Hà Nội",20.978617,105.7694307
" Đường Nguyễn Văn Lượng, Phường 10, Quận Gò Vấp, Hồ Chí Minh",21.0080298,105.7117607
" Đường Bùi Huy Bích, Phường Vĩnh Hòa, Thành phố Nha Trang, Khánh Hòa",10.8386911,106.6626708
" Đường Nguyễn Thái Sơn, Phường 5, Quận Gò Vấp, Hồ Chí Minh",12.2989614,109.2098091
" Phố Hoàng Cầu, Phường Ô Chợ Dừa, Quận Đống Đa, Hà Nội",10.8256749,106.6860381
" Đường Hà Cầu, Phường Hà Cầu, Quận Hà Đông, Hà Nội",21.0164768,105.8193496
" Đường Nguyễn Hữu Dật, Phường Tây Thạnh, Quận Tân Phú, Hồ Chí Minh",20.9647003,105.7682132
" Đường Hà Huy Giáp, Phường Thạnh Lộc, Quận 12, Hồ Chí Minh",10.8089732,106.6286559
" Đường Ngũ Nhạc, Phường Thanh Trì, Quận Hoàng Mai, Hà Nội",10.8776601,106.675218
" Phố Phan Đình Giót, Phường Phương Liệt, Quận Thanh Xuân, Hà Nội",20.9897974,105.8886512
" Đường An Dương Vương, Phường Thành Nhất, Thành phố Buôn Ma Thuột, Đắk Lắk",20.9911167,105.8368232
" Đường Nguyễn Ánh Thủ, Phường Trung Mỹ Tây, Quận 12, Hồ Chí Minh",12.6849533,108.0268639
" Đường Song Hành, Phường Trung Mỹ Tây, Quận 12, Hồ Chí Minh",10.8647652,106.6110168
" Phố Bùi Thị Xuân, Phường Bùi Thị Xuân, Quận Hai Bà Trưng, Hà Nội",10.8522161,106.6103005
" Đường Long Khánh 7, Xã Di Trạch, Huyện Hoài Đức, Hà Nội",21.0151322,105.8472954
" Phố Núi Trúc, Phường Giảng Võ, Quận Ba Đình, Hà Nội",20.9976468,105.7186123
" Đường Trung Mỹ Tây 13, Phường Trung Mỹ Tây, Quận 12, Hồ Chí Minh",21.029452,105.8206882
" Phố Trần Quang Diệu, Phường Ô Chợ Dừa, Quận Đống Đa, Hà Nội",10.8555566,106.6128587
" Đường Nguyễn Khoái, Phường Lĩnh Nam, Quận Hoàng Mai, Hà Nội",21.01557,105.8219094
" Đường Láng Hạ, Phường Láng Hạ, Quận Đống Đa, Hà Nội",20.9785758,105.888615
" Đường Phạm Ngũ Lão, Phường Thành Công, Thành phố Buôn Ma Thuột, Đắk Lắk",21.0167353,105.8018213
" Đường Nguyễn Xiển, Phường Thanh Xuân Nam, Quận Thanh Xuân, Hà Nội",12.6899531,108.0314048
" Đường Tân Trụ, Phường 15, Quận Tân Bình, Hồ Chí Minh",20.9893182,105.8020457
" Đường Nguyễn Khuyến, Phường Văn Quán, Quận Hà Đông, Hà Nội",10.8240815,106.6289733
" Đường Phan Huy Ích, Phường 14, Quận Gò Vấp, Hồ Chí Minh",21.0281919,105.8363992
" Đường Bà Triệu, Phường Hà Cầu, Quận Hà Đông, Hà Nội",10.8385283,106.634226
" Đường Lạc Long Quân, Phường Nhật Tân, Quận Tây Hồ, Hà Nội",20.969228,105.7785326
" Đường Y Ngông, Phường Tân Tiến, Thành phố Buôn Ma Thuột, Đắk Lắk",21.0745037,105.810723
" Đường Dương Quảng Hàm, Phường 5, Quận Gò Vấp, Hồ Chí Minh",12.6711999,108.0214802
" Đường Lê Quang Đạo, Phường Phú Đô, Quận Nam Từ Liêm, Hà Nội",10.8263927,106.6874047
" Phố Nguyễn Phúc Lai, Phường Ô Chợ Dừa, Quận Đống Đa, Hà Nội",21.0122757,105.7682897
" Đường Vĩnh Hưng, Phường Vĩnh Hưng, Quận Hoàng Mai, Hà Nội",21.0210191,105.8193149
" Đường Trưng Nhị, Phường Nguyễn Trãi, Quận Hà Đông, Hà Nội",20.9832655,105.8738026
" Đường Thanh Am, Phường Thượng Thanh, Quận Long Biên, Hà Nội",20.9713579,105.7755547
" Đường Nguyễn Ánh Thủ, Phường Tân Chánh Hiệp, Quận 12, Hồ Chí Minh",21.0717463,105.9015591
" Đường Tân Khai, Phường Vĩnh Hưng, Quận Hoàng Mai, Hà Nội",10.8735241,106.6189339
" Đường Lê Trọng Tấn, Phường La Khê, Quận Hà Đông, Hà Nội",20.9878957,105.8678441
" Phố Trích Sài, Phường Bưởi, Quận Tây Hồ, Hà Nội",20.9660352,105.755695
" Phường Bồ Đề, Quận Long Biên, Hà Nội",21.0507201,105.8107298
" Đường Phan Văn Hớn, Phường Tân Thới Nhất, Quận 12, Hồ Chí Minh",21.0358617,105.8513388
" Đường Xuân La, Phường Xuân La, Quận Tây Hồ, Hà Nội",10.8306058,106.610939
" Đường Láng, Phường Láng Thượng, Quận Đống Đa, Hà Nội",21.0649182,105.8032322
" Đường Đê Trần Khát Chân, Phường Thanh Nhàn, Quận Hai Bà Trưng, Hà Nội",21.0215825,105.7985081
" Đường Thạnh Xuân 52, Phường Thạnh Xuân, Quận 12, Hồ Chí Minh",21.0069201,105.863104
" Đường Nguyễn Khoái, Phường Lĩnh Nam, Quận Hoàng Mai, Hà Nội",10.8957687,106.6852803
" Đường Chu Văn An, Phường Yết Kiêu, Quận Hà Đông, Hà Nội",20.9785758,105.888615
" Đường Ven Hồ, Phường Yên Phụ, Quận Tây Hồ, Hà Nội",20.9740505,105.775606
" Đường Phan Huy Ích, Phường 12, Quận Gò Vấp, Hồ Chí Minh",21.0122327,105.838509
" Đường Trần Văn Mười, Xã Xuân Thới Thượng, Huyện Hóc Môn, Hồ Chí Minh",10.8350836,106.6345299
" Đường Hà Huy Giáp, Phường Thạnh Lộc, Quận 12, Hồ Chí Minh",10.8496848,106.5853303
" Đường Nguyễn Văn Quá, Phường Đông Hưng Thuận, Quận 12, Hồ Chí Minh",10.8776601,106.675218
" Phố Hưng Phúc, Phường Yên Sở, Quận Hoàng Mai, Hà Nội",10.8418649,106.6309765
" Phố Đông Các, Phường Ô Chợ Dừa, Quận Đống Đa, Hà Nội",20.9614455,105.8653455
" Phố Đốc Ngữ, Phường Vĩnh Phúc, Quận Ba Đình, Hà Nội",21.0193019,105.8249783
" Đường Huỳnh Văn Nghệ, Phường 15, Quận Tân Bình, Hồ Chí Minh",21.0411882,105.8108941
" Đường Nam Dư, Phường Lĩnh Nam, Quận Hoàng Mai, Hà Nội",10.8300835,106.6353777
" Đường Nguyễn Văn Quá, Phường Đông Hưng Thuận, Quận 12, Hồ Chí Minh",20.982215,105.884097
" Đường Nguyễn Huy Tự, Phường Hòa Minh, Quận Liên Chiểu, Đà Nẵng",10.8418649,106.6309765
" Đường Kim Giang, Phường Khương Đình, Quận Thanh Xuân, Hà Nội",16.0815478,108.1576373
" Đường Tân Khai, Phường Vĩnh Hưng, Quận Hoàng Mai, Hà Nội",20.9828823,105.8129454
" Đường Đa Sĩ, Phường Kiến Hưng, Quận Hà Đông, Hà Nội",20.9878957,105.8678441
" Đường Thúy Lĩnh, Phường Lĩnh Nam, Quận Hoàng Mai, Hà Nội",20.9582923,105.7871998
" Đường Nguyễn Phúc Chu, Phường 15, Quận Tân Bình, Hồ Chí Minh",20.9742481,105.8914003
" Phố Nguyễn Trường Tộ, Phường Nguyễn Trung Trực, Quận Ba Đình, Hà Nội",10.8215996,106.6279476
" Đường Cầu Giấy, Phường Quan Hoa, Quận Cầu Giấy, Hà Nội",21.0423389,105.8426702
" Đường Bà Triệu, Phường Nguyễn Trãi, Quận Hà Đông, Hà Nội",21.0319579,105.7969572
